Date and time,Mode,Distance,Duration,Price
2022-05-18 21:43,Bus,4.0,0.16,2.0
2022-04-15 22:01,Bus,5.3,0.39,2.0
2022-01-02 11:56,Bus,3.2,0.12,2.0
2022-10-11 17:00,Bus,2.5,0.1,2.0
2022-06-24 17:01,Bus,6.5,0.37,2.0
2022-02-04 17:15,Bus,5.4,0.2,2.0
2022-10-25 10:37,Bus,3.2,0.13,2.0
2022-11-21 17:36,Bus,4.3,0.18,2.0
2022-03-04 10:58,Bus,3.7,0.13,2.0
2022-01-05 21:17,Bus,7.5,0.4,2.0
2022-12-20 16:29,Bus,10.3,0.45,2.0
2022-02-12 12:34,Bus,3.5,0.11,2.0
2022-03-08 11:30,Bus,4.2,0.19,2.0
2022-08-21 17:34,Bus,3.2,0.12,2.0
2022-06-12 20:00,Bus,2.7,0.09,2.0
2022-04-29 12:17,Bus,10.1,0.38,2.0
2022-01-18 21:12,Bus,6.4,0.23,2.0
2022-10-14 17:37,Bus,5.0,0.25,2.0
2022-12-22 23:02,Bus,4.3,0.18,2.0
2022-05-25 20:26,Bus,6.5,0.22,2.0
2022-03-25 10:01,Bus,8.2,0.27,2.0
2022-07-29 19:02,Bus,1.0,0.03,2.0
2022-02-22 20:16,Bus,3.7,0.15,2.0
2022-10-11 16:56,Bus,8.4,0.38,2.0
2022-08-25 15:24,Bus,3.9,0.17,2.0
2022-01-01 10:22,Bus,1.3,0.05,2.0
2022-06-09 19:51,Bus,1.7,0.06,2.0
2022-02-05 20:05,Bus,6.6,0.25,2.0
2022-08-29 08:51,Bus,10.4,0.41,2.0
2022-07-26 15:00,Bus,1.6,0.06,2.0
2022-12-30 07:34,Bus,9.4,0.36,2.0
2022-07-22 19:30,Bus,3.1,0.12,2.0
2022-03-29 07:39,Bus,14.1,0.47,2.0
2022-04-17 11:36,Bus,1.9,0.08,2.0
2022-05-12 14:06,Bus,3.9,0.13,2.0
2022-10-10 19:57,Bus,9.4,0.43,2.0
2022-11-10 09:13,Bus,8.1,0.26,2.0
2022-02-24 17:57,Bus,4.2,0.2,2.0
2022-02-09 18:05,Bus,2.6,0.1,2.0
2022-12-29 17:42,Bus,5.0,0.23,2.0
2022-04-07 07:49,Bus,9.2,0.31,2.0
2022-11-09 10:09,Bus,5.8,0.24,2.0
2022-02-10 21:39,Bus,9.0,0.35,2.0
2022-09-30 19:16,Bus,6.3,0.27,2.0
2022-05-10 19:38,Bus,4.3,0.31,2.0
2022-03-30 09:08,Bus,1.8,0.1,2.0
2022-09-27 18:51,Bus,1.7,0.08,2.0
2022-09-02 19:03,Bus,3.1,0.15,2.0
2022-05-03 20:13,Bus,3.9,0.19,2.0
2022-03-03 07:18,Bus,1.9,0.1,2.0
2022-02-23 22:18,Bus,2.4,0.08,2.0
2022-07-22 20:28,Bus,3.7,0.26,2.0
2022-07-22 20:41,Bus,3.3,0.15,2.0
2022-07-13 07:04,Bus,1.8,0.08,2.0
2022-04-18 16:43,Bus,1.4,0.07,2.0
2022-06-23 11:42,Bus,6.0,0.25,2.0
2022-12-09 15:56,Bus,3.7,0.14,2.0
2022-06-01 16:52,Bus,8.9,0.32,2.0
2022-10-27 21:43,Bus,4.6,0.17,2.0
2022-12-20 17:38,Bus,5.5,0.22,2.0
2022-07-09 22:27,Bus,7.1,0.35,2.0
2022-04-20 23:37,Bus,5.2,0.23,2.0
2022-10-01 09:52,Bus,11.4,0.4,2.0
2022-02-19 13:11,Bus,3.2,0.1,2.0
2022-11-19 14:49,Bus,4.5,0.12,2.0
2022-01-02 11:09,Bus,3.1,0.11,2.0
2022-07-11 18:55,Bus,3.2,0.12,2.0
2022-04-19 20:05,Bus,3.0,0.12,2.0
2022-03-31 22:39,Bus,2.2,0.1,2.0
2022-09-15 09:47,Bus,1.8,0.08,2.0
2022-10-14 22:10,Bus,0.7,0.03,2.0
2022-02-09 12:35,Bus,2.1,0.1,2.0
2022-08-31 17:37,Bus,2.0,0.09,2.0
2022-11-29 07:00,Bus,4.6,0.13,2.0
2022-05-17 18:34,Bus,5.5,0.23,2.0
2022-04-28 11:38,Bus,4.8,0.21,2.0
2022-07-07 08:40,Bus,1.2,0.07,2.0
2022-05-12 20:19,Bus,10.5,0.33,2.0
2022-06-11 22:24,Bus,7.5,0.26,2.0
2022-04-09 13:28,Bus,3.9,0.17,2.0
2022-03-11 21:52,Bus,2.5,0.13,2.0
2022-02-03 06:31,Bus,2.2,0.09,2.0
2022-10-10 09:40,Bus,5.8,0.21,2.0
2022-12-06 18:53,Bus,4.3,0.15,2.0
2022-06-11 22:33,Bus,5.7,0.18,2.0
2022-02-05 19:42,Bus,3.6,0.15,2.0
2022-01-09 13:52,Bus,13.3,0.64,2.0
2022-11-11 18:10,Bus,5.6,0.24,2.0
2022-12-11 22:34,Bus,3.6,0.15,2.0
2022-07-20 08:38,Bus,1.7,0.08,2.0
2022-06-23 22:02,Bus,2.9,0.13,2.0
2022-09-12 11:31,Bus,10.2,0.43,2.0
2022-05-21 22:43,Bus,1.4,0.08,2.0
2022-02-26 20:12,Bus,9.1,0.42,2.0
2022-04-02 11:34,Bus,5.0,0.17,2.0
2022-10-14 21:25,Bus,1.8,0.08,2.0
2022-11-04 20:03,Bus,5.3,0.16,2.0
2022-12-02 20:08,Bus,3.0,0.12,2.0
2022-03-16 18:07,Bus,5.7,0.24,2.0
2022-07-08 18:27,Bus,2.7,0.12,2.0
2022-05-01 14:50,Bus,7.5,0.29,2.0
2022-11-10 18:39,Bus,9.5,0.32,2.0
2022-02-14 22:09,Bus,8.5,0.24,2.0
2022-01-19 11:59,Bus,2.5,0.11,2.0
2022-12-10 17:17,Bus,1.5,0.07,2.0
2022-01-06 07:00,Bus,1.8,0.08,2.0
2022-11-02 21:27,Bus,2.1,0.13,2.0
2022-07-12 18:58,Bus,5.6,0.24,2.0
2022-02-22 17:38,Bus,4.8,0.18,2.0
2022-05-04 16:17,Bus,3.9,0.17,2.0
2022-08-12 20:27,Bus,3.0,0.12,2.0
2022-07-18 14:41,Bus,3.7,0.14,2.0
2022-05-28 16:06,Bus,4.3,0.15,2.0
2022-05-19 08:56,Bus,2.2,0.11,2.0
2022-06-18 20:38,Bus,8.4,0.3,2.0
2022-09-29 07:37,Bus,1.7,0.07,2.0
2022-02-12 22:39,Bus,3.0,0.13,2.0
2022-09-28 06:51,Bus,10.9,0.4,2.0
2022-03-18 20:07,Bus,5.6,0.18,2.0
2022-05-06 09:40,Bus,3.9,0.17,2.0
2022-11-29 21:05,Bus,5.1,0.18,2.0
2022-12-08 20:31,Bus,14.2,0.37,2.0
2022-06-18 15:23,Bus,7.4,0.32,2.0
2022-04-06 11:51,Bus,3.4,0.12,2.0
2022-08-19 20:50,Bus,10.8,0.34,2.0
2022-02-14 16:48,Bus,2.1,0.1,2.0
2022-01-07 17:14,Bus,4.8,0.23,2.0
2022-09-18 13:08,Bus,6.4,0.23,2.0
2022-11-13 09:34,Bus,2.7,0.14,2.0
2022-07-04 08:15,Bus,1.2,0.07,2.0
2022-02-22 19:06,Bus,8.5,0.28,2.0
2022-06-12 20:10,Bus,5.3,0.18,2.0
2022-04-11 17:27,Bus,5.8,0.2,2.0
2022-07-23 10:39,Bus,8.1,0.28,2.0
2022-08-10 08:13,Bus,4.4,0.22,2.0
2022-04-04 18:29,Bus,2.7,0.13,2.0
2022-02-18 16:57,Bus,1.3,0.04,2.0
2022-07-08 10:19,Bus,2.9,0.11,2.0
2022-02-10 16:21,Bus,6.8,0.37,2.0
2022-04-01 21:54,Bus,1.3,0.05,2.0
2022-10-06 16:43,Bus,1.1,0.06,2.0
2022-04-27 19:05,Bus,2.2,0.11,2.0
2022-05-25 16:50,Bus,1.7,0.09,2.0
2022-06-22 16:46,Bus,5.0,0.26,2.0
2022-06-24 11:57,Bus,11.2,0.41,2.0
2022-07-30 18:32,Bus,4.3,0.15,2.0
2022-01-18 17:02,Bus,1.9,0.11,2.0
2022-02-19 23:58,Bus,3.2,0.13,2.0
2022-04-30 23:01,Bus,8.3,0.28,2.0
2022-11-02 20:40,Bus,2.4,0.09,2.0
2022-11-18 12:56,Bus,4.9,0.19,2.0
2022-03-06 07:30,Bus,0.8,0.05,2.0
2022-07-15 21:27,Bus,7.8,0.31,2.0
2022-03-16 10:09,Bus,2.7,0.15,2.0
2022-04-27 11:07,Bus,2.4,0.11,2.0
2022-11-07 20:38,Bus,7.8,0.3,2.0
2022-12-20 07:55,Bus,2.4,0.14,2.0
2022-07-26 20:53,Bus,10.1,0.47,2.0
2022-06-09 15:40,Bus,7.3,0.28,2.0
2022-03-02 19:17,Bus,2.4,0.07,2.0
2022-12-05 21:06,Bus,4.9,0.27,2.0
2022-11-24 23:35,Bus,3.4,0.18,2.0
2022-07-29 19:37,Bus,4.2,0.16,2.0
2022-03-22 11:49,Bus,1.6,0.06,2.0
2022-05-08 11:48,Bus,6.2,0.22,2.0
2022-03-11 11:52,Bus,1.1,0.05,2.0
2022-03-12 10:18,Bus,1.4,0.05,2.0
2022-02-01 07:43,Bus,2.1,0.13,2.0
2022-01-19 10:47,Bus,0.8,0.03,2.0
2022-01-03 19:12,Bus,1.0,0.03,2.0
2022-06-07 18:01,Bus,2.5,0.09,2.0
2022-07-18 15:24,Bus,6.4,0.24,2.0
2022-11-26 14:42,Bus,1.2,0.04,2.0
2022-12-31 18:27,Bus,0.9,0.03,2.0
2022-12-09 22:52,Bus,9.8,0.39,2.0
2022-11-02 08:55,Bus,1.7,0.06,2.0
2022-09-23 08:58,Bus,4.5,0.19,2.0
2022-02-11 20:56,Bus,3.8,0.14,2.0
2022-05-10 10:11,Bus,1.4,0.06,2.0
2022-04-21 18:25,Bus,8.8,0.31,2.0
2022-04-18 18:26,Bus,2.3,0.09,2.0
2022-09-28 17:27,Bus,4.6,0.19,2.0
2022-10-20 09:54,Bus,1.7,0.07,2.0
2022-01-19 08:43,Bus,4.2,0.21,2.0
2022-02-12 12:28,Bus,5.3,0.19,2.0
2022-08-22 17:35,Bus,5.5,0.21,2.0
2022-02-10 17:18,Bus,3.7,0.14,2.0
2022-01-31 17:44,Bus,4.4,0.14,2.0
2022-01-26 20:46,Bus,3.5,0.22,2.0
2022-11-20 16:36,Bus,2.4,0.09,2.0
2022-07-14 18:47,Bus,4.6,0.21,2.0
2022-01-03 18:31,Bus,3.8,0.21,2.0
2022-07-19 15:23,Bus,5.7,0.26,2.0
2022-06-30 09:14,Bus,3.5,0.17,2.0
2022-01-18 21:31,Bus,2.5,0.08,2.0
2022-05-21 12:36,Bus,1.2,0.05,2.0
2022-02-27 08:38,Bus,5.9,0.27,2.0
2022-06-06 18:51,Bus,3.1,0.14,2.0
2022-02-08 22:52,Bus,1.8,0.09,2.0
2022-05-31 13:06,Bus,1.4,0.05,2.0
2022-02-22 20:02,Bus,1.9,0.08,2.0
2022-01-18 08:41,Bus,1.5,0.07,2.0
2022-10-27 13:04,Bus,5.9,0.22,2.0
2022-07-08 21:41,Bus,5.4,0.26,2.0
2022-10-19 18:07,Bus,5.6,0.25,2.0
2022-07-15 14:43,Bus,0.8,0.03,2.0
2022-12-29 18:31,Bus,3.6,0.14,2.0
2022-07-16 22:27,Bus,3.5,0.13,2.0
2022-08-26 16:52,Bus,5.3,0.22,2.0
2022-02-09 20:34,Bus,5.5,0.22,2.0
2022-07-20 11:47,Bus,6.9,0.27,2.0
2022-02-19 22:59,Bus,11.8,0.52,2.0
2022-11-30 09:02,Bus,7.7,0.38,2.0
2022-06-02 17:10,Bus,0.7,0.04,2.0
2022-09-06 08:02,Bus,7.2,0.33,2.0
2022-06-26 12:05,Bus,4.5,0.14,2.0
2022-12-02 12:05,Bus,8.5,0.35,2.0
2022-11-27 13:18,Bus,4.4,0.16,2.0
2022-05-14 11:07,Bus,3.5,0.13,2.0
2022-10-12 13:05,Bus,4.0,0.23,2.0
2022-11-28 21:53,Bus,3.7,0.14,2.0
2022-08-22 09:07,Bus,2.7,0.11,2.0
2022-07-19 17:39,Bus,2.2,0.08,2.0
2022-11-28 10:27,Bus,5.9,0.31,2.0
2022-08-31 16:32,Bus,4.6,0.2,2.0
2022-09-23 18:11,Bus,5.2,0.19,2.0
2022-07-18 15:36,Bus,5.0,0.22,2.0
2022-01-08 16:11,Bus,6.0,0.3,2.0
2022-12-31 20:52,Bus,8.1,0.31,2.0
2022-07-08 20:26,Bus,7.0,0.28,2.0
2022-12-27 18:22,Bus,5.1,0.34,2.0
2022-10-22 23:24,Bus,5.1,0.25,2.0
2022-01-23 10:19,Bus,2.1,0.08,2.0
2022-04-13 20:39,Bus,4.5,0.19,2.0
2022-01-27 12:48,Bus,10.8,0.38,2.0
2022-10-10 13:17,Bus,2.2,0.1,2.0
2022-05-06 17:49,Bus,5.3,0.19,2.0
2022-04-05 19:06,Bus,8.2,0.32,2.0
2022-06-10 20:38,Bus,5.2,0.23,2.0
2022-11-12 19:48,Bus,0.7,0.03,2.0
2022-08-13 18:24,Bus,3.9,0.14,2.0
2022-05-06 20:45,Bus,6.6,0.33,2.0
2022-03-31 14:13,Bus,1.8,0.08,2.0
2022-03-23 11:24,Bus,9.5,0.34,2.0
2022-04-06 08:15,Bus,5.9,0.36,2.0
2022-09-23 21:01,Bus,7.1,0.36,2.0
2022-05-21 20:03,Bus,6.9,0.29,2.0
2022-12-28 06:35,Bus,4.0,0.16,2.0
2022-03-01 10:21,Bus,2.5,0.11,2.0
2022-10-21 12:44,Bus,5.3,0.2,2.0
2022-10-08 18:05,Bus,5.3,0.23,2.0
2022-04-09 08:22,Bus,1.7,0.07,2.0
2022-07-11 18:39,Bus,13.9,0.53,2.0
2022-03-18 14:19,Bus,15.4,0.44,2.0
2022-10-12 15:31,Bus,18.2,0.79,2.0
2022-07-20 18:43,Bus,14.8,0.59,2.0
2022-01-06 08:09,Bus,5.0,0.22,2.0
2022-03-16 08:40,Bus,2.6,0.21,2.0
2022-10-22 10:02,Bus,10.7,0.52,2.0
2022-12-14 23:12,Bus,4.7,0.15,2.0
2022-06-22 18:51,Bus,3.1,0.14,2.0
2022-10-09 11:18,Bus,3.9,0.2,2.0
2022-07-09 22:37,Bus,9.9,0.43,2.0
2022-05-14 22:21,Bus,1.8,0.07,2.0
2022-02-18 10:42,Bus,5.4,0.18,2.0
2022-06-16 07:26,Bus,3.3,0.13,2.0
2022-10-14 12:41,Bus,6.8,0.35,2.0
2022-03-02 15:36,Bus,4.4,0.25,2.0
2022-11-07 21:27,Bus,1.2,0.05,2.0
2022-01-03 16:04,Bus,0.8,0.04,2.0
2022-03-06 19:01,Bus,10.4,0.38,2.0
2022-12-22 21:32,Bus,1.5,0.05,2.0
2022-07-20 19:47,Bus,6.4,0.26,2.0
2022-12-30 17:22,Bus,2.4,0.12,2.0
2022-11-08 08:17,Bus,9.2,0.54,2.0
2022-12-05 18:00,Bus,4.4,0.17,2.0
2022-03-14 08:33,Bus,6.4,0.31,2.0
2022-02-25 20:29,Bus,4.5,0.2,2.0
2022-02-05 12:51,Bus,2.1,0.11,2.0
2022-02-10 16:36,Bus,5.6,0.25,2.0
2022-12-26 06:47,Bus,7.5,0.31,2.0
2022-11-05 14:59,Bus,1.1,0.04,2.0
2022-06-24 11:21,Bus,6.1,0.23,2.0
2022-05-11 14:00,Bus,1.7,0.06,2.0
2022-12-06 19:39,Bus,1.9,0.06,2.0
2022-11-19 21:35,Bus,5.4,0.22,2.0
2022-09-02 08:17,Bus,3.1,0.21,2.0
2022-11-11 17:50,Bus,2.8,0.13,2.0
2022-09-01 09:44,Bus,12.0,0.54,2.0
2022-07-26 15:49,Bus,3.0,0.1,2.0
2022-08-14 12:38,Bus,2.5,0.08,2.0
2022-10-12 08:03,Bus,7.9,0.54,2.0
2022-12-07 08:40,Bus,6.2,0.28,2.0
2022-07-08 18:42,Bus,6.7,0.34,2.0
2022-11-11 22:16,Bus,9.1,0.37,2.0
2022-04-03 13:45,Bus,2.1,0.09,2.0
2022-07-01 08:33,Bus,3.1,0.15,2.0
2022-12-27 16:05,Bus,3.7,0.17,2.0
2022-03-14 20:00,Bus,4.7,0.24,2.0
2022-04-15 23:38,Bus,9.1,0.31,2.0
2022-02-01 11:03,Bus,5.7,0.16,2.0
2022-08-26 18:50,Bus,4.6,0.17,2.0
2022-02-07 17:28,Bus,3.2,0.13,2.0
2022-07-01 22:03,Bus,6.8,0.4,2.0
2022-07-17 12:20,Bus,3.7,0.15,2.0
2022-09-23 09:47,Bus,5.2,0.26,2.0
2022-02-01 11:57,Bus,3.2,0.12,2.0
2022-06-09 23:15,Bus,0.8,0.03,2.0
2022-06-14 18:46,Bus,8.1,0.28,2.0
2022-03-14 21:48,Bus,11.9,0.45,2.0
2022-10-03 08:53,Bus,9.5,0.39,2.0
2022-01-26 09:10,Bus,7.9,0.3,2.0
2022-07-10 09:31,Bus,7.9,0.34,2.0
2022-05-19 18:52,Bus,6.5,0.25,2.0
2022-09-01 08:30,Bus,1.3,0.05,2.0
2022-03-06 13:31,Bus,2.3,0.09,2.0
2022-09-02 21:29,Bus,2.1,0.1,2.0
2022-09-28 07:24,Bus,1.7,0.06,2.0
2022-01-31 22:05,Bus,1.5,0.06,2.0
2022-10-22 11:51,Bus,2.0,0.08,2.0
2022-11-04 20:59,Bus,0.8,0.03,2.0
2022-01-07 11:38,Bus,2.9,0.1,2.0
2022-02-08 17:13,Bus,6.7,0.3,2.0
2022-08-23 09:27,Bus,4.3,0.2,2.0
2022-07-01 09:50,Bus,4.1,0.13,2.0
2022-01-25 07:09,Bus,2.6,0.1,2.0
2022-06-14 15:24,Bus,8.6,0.35,2.0
2022-04-02 12:56,Bus,2.8,0.15,2.0
2022-01-22 09:35,Bus,6.0,0.34,2.0
2022-01-14 20:08,Bus,10.2,0.43,2.0
2022-10-19 10:05,Bus,2.0,0.08,2.0
2022-12-21 07:31,Bus,2.3,0.15,2.0
2022-02-19 11:24,Bus,5.6,0.27,2.0
2022-10-02 06:04,Bus,3.3,0.12,2.0
2022-06-16 09:30,Bus,1.5,0.05,2.0
2022-02-02 22:44,Bus,4.4,0.17,2.0
2022-10-26 18:20,Bus,5.5,0.23,2.0
2022-04-01 08:58,Bus,7.3,0.26,2.0
2022-11-21 13:41,Bus,3.5,0.1,2.0
2022-09-21 10:31,Bus,3.8,0.19,2.0
2022-04-06 19:52,Bus,3.2,0.09,2.0
2022-07-30 21:43,Bus,7.1,0.25,2.0
2022-08-15 08:55,Bus,1.6,0.13,2.0
2022-03-23 17:23,Bus,2.8,0.11,2.0
2022-01-24 18:47,Bus,4.8,0.17,2.0
2022-06-02 08:35,Bus,7.4,0.3,2.0
2022-04-30 21:15,Bus,3.1,0.12,2.0
2022-05-29 08:16,Bus,5.6,0.23,2.0
2022-09-01 16:42,Bus,2.4,0.09,2.0
2022-05-15 15:36,Bus,2.3,0.08,2.0
2022-06-20 18:42,Bus,5.9,0.32,2.0
2022-10-13 15:25,Bus,6.2,0.29,2.0
2022-03-16 16:27,Bus,5.2,0.3,2.0
2022-04-02 09:02,Bus,1.7,0.06,2.0
2022-11-30 22:59,Bus,1.6,0.06,2.0
2022-12-19 06:37,Bus,1.4,0.06,2.0
2022-05-14 15:24,Bus,6.1,0.21,2.0
2022-02-24 18:23,Bus,7.0,0.4,2.0
2022-12-31 19:56,Bus,3.8,0.19,2.0
2022-03-07 21:46,Bus,5.8,0.21,2.0
2022-06-14 17:54,Bus,4.6,0.21,2.0
2022-09-06 10:23,Bus,2.8,0.11,2.0
2022-06-29 14:25,Bus,4.1,0.17,2.0
2022-03-25 10:07,Bus,7.0,0.25,2.0
2022-08-10 16:38,Bus,2.7,0.12,2.0
2022-11-23 19:10,Bus,5.2,0.21,2.0
2022-12-29 09:27,Bus,0.9,0.04,2.0
2022-01-03 17:21,Bus,4.6,0.19,2.0
2022-11-13 14:00,Bus,6.0,0.21,2.0
2022-06-28 20:01,Bus,10.8,0.39,2.0
2022-11-26 16:15,Bus,8.0,0.25,2.0
2022-07-02 22:13,Bus,5.0,0.26,2.0
2022-05-24 19:29,Bus,5.2,0.19,2.0
2022-01-15 23:54,Bus,0.9,0.04,2.0
2022-03-09 16:06,Bus,6.3,0.24,2.0
2022-11-04 08:58,Bus,7.8,0.32,2.0
2022-11-03 12:25,Bus,2.5,0.09,2.0
2022-01-26 18:48,Bus,1.6,0.05,2.0
2022-09-24 17:55,Bus,8.1,0.32,2.0
2022-09-20 13:46,Bus,1.4,0.04,2.0
2022-08-12 17:00,Bus,7.7,0.31,2.0
2022-01-26 18:50,Bus,2.1,0.07,2.0
2022-02-09 07:44,Bus,11.5,0.48,2.0
2022-01-13 11:18,Bus,3.1,0.22,2.0
2022-11-28 16:30,Bus,5.1,0.19,2.0
2022-09-26 18:11,Bus,0.8,0.03,2.0
2022-01-29 22:01,Bus,4.1,0.18,2.0
2022-01-30 09:04,Bus,5.1,0.22,2.0
2022-03-16 07:24,Bus,4.9,0.22,2.0
2022-08-02 09:14,Bus,1.9,0.1,2.0
2022-10-19 19:20,Bus,1.2,0.05,2.0
2022-07-09 08:52,Bus,8.2,0.29,2.0
